"Initial_Population","Carrying_Capacity"
1,10
2.2020202020202,10.9090909090909
3.4040404040404,11.8181818181818
4.60606060606061,12.7272727272727
5.80808080808081,13.6363636363636
7.01010101010101,14.5454545454545
8.21212121212121,15.4545454545455
9.41414141414141,16.3636363636364
10.6161616161616,17.2727272727273
11.8181818181818,18.1818181818182
13.020202020202,19.0909090909091
14.2222222222222,20
15.4242424242424,20.9090909090909
16.6262626262626,21.8181818181818
17.8282828282828,22.7272727272727
19.030303030303,23.6363636363636
20.2323232323232,24.5454545454545
21.4343434343434,25.4545454545455
22.6363636363636,26.3636363636364
23.8383838383838,27.2727272727273
25.040404040404,28.1818181818182
26.2424242424242,29.0909090909091
27.4444444444444,30
28.6464646464646,30.9090909090909
29.8484848484848,31.8181818181818
31.050505050505,32.7272727272727
32.2525252525253,33.6363636363636
33.4545454545455,34.5454545454545
34.6565656565657,35.4545454545455
35.8585858585859,36.3636363636364
37.0606060606061,37.2727272727273
38.2626262626263,38.1818181818182
39.4646464646465,39.0909090909091
40.6666666666667,40
41.8686868686869,40.9090909090909
43.0707070707071,41.8181818181818
44.2727272727273,42.7272727272727
45.4747474747475,43.6363636363636
46.6767676767677,44.5454545454545
47.8787878787879,45.4545454545455
49.0808080808081,46.3636363636364
50.2828282828283,47.2727272727273
51.4848484848485,48.1818181818182
52.6868686868687,49.0909090909091
53.8888888888889,50
55.0909090909091,50.9090909090909
56.2929292929293,51.8181818181818
57.4949494949495,52.7272727272727
58.6969696969697,53.6363636363636
59.8989898989899,54.5454545454545
61.1010101010101,55.4545454545455
62.3030303030303,56.3636363636364
63.5050505050505,57.2727272727273
64.7070707070707,58.1818181818182
65.9090909090909,59.0909090909091
67.1111111111111,60
68.3131313131313,60.9090909090909
69.5151515151515,61.8181818181818
70.7171717171717,62.7272727272727
71.9191919191919,63.6363636363636
73.1212121212121,64.5454545454545
74.3232323232323,65.4545454545455
75.5252525252525,66.3636363636364
76.7272727272727,67.2727272727273
77.9292929292929,68.1818181818182
79.1313131313131,69.0909090909091
80.3333333333333,70
81.5353535353535,70.9090909090909
82.7373737373737,71.8181818181818
83.9393939393939,72.7272727272727
85.1414141414141,73.6363636363636
86.3434343434343,74.5454545454545
87.5454545454545,75.4545454545455
88.7474747474747,76.3636363636364
89.949494949495,77.2727272727273
91.1515151515152,78.1818181818182
92.3535353535353,79.0909090909091
93.5555555555556,80
94.7575757575758,80.9090909090909
95.959595959596,81.8181818181818
97.1616161616162,82.7272727272727
98.3636363636364,83.6363636363636
99.5656565656566,84.5454545454545
100.767676767677,85.4545454545455
101.969696969697,86.3636363636364
103.171717171717,87.2727272727273
104.373737373737,88.1818181818182
105.575757575758,89.0909090909091
106.777777777778,90
107.979797979798,90.9090909090909
109.181818181818,91.8181818181818
110.383838383838,92.7272727272727
111.585858585859,93.6363636363636
112.787878787879,94.5454545454545
113.989898989899,95.4545454545455
115.191919191919,96.3636363636364
116.393939393939,97.2727272727273
117.59595959596,98.1818181818182
118.79797979798,99.0909090909091
120,100
